step_id,problem_id,prm_rating,step_type_analysis,step_type_human_calibrated,rating_x_type,position_bin,target_tokens,prefix_tokens,control_correct_count,target_correct_count,control_avg_correct,target_avg_correct,target_effect,correct_to_wrong_count,wrong_to_correct_count,danger_rate,recovery_rate,mean_target_minus_control_tokens,completion_fraction,has_abnormal_completion,placebo_eligible,placebo_run_count,eligibility_group
prm-a0bf5d5817e64ebf,problem-e8bbc51e4f0cedba,1,essential,essential,1 x essential,late,39,807,4,4,1.0,1.0,0.0,0,0,0.0,,30,1.0,false,1,4,eligible
prm-e742e4e78ed351e6,problem-af2fadb634c99ff9,-1,essential,redundant,-1 x essential,middle,39,363,0,0,0.0,0.0,0.0,0,0,,0.0,-16.25,0.0,true,1,1,eligible
prm-2e47da03eaad232d,problem-c16492850cbf8813,0,redundant,redundant,0 x redundant,early,40,374,3,4,0.75,1.0,0.25,0,1,0.0,1.0,-60.75,1.0,false,1,4,eligible
prm-a1fd67bb0e47eb99,problem-a03b6b4ae366f630,0,harmful,essential,0 x harmful,late,50,399,4,4,1.0,1.0,0.0,0,0,0.0,,-3,1.0,false,0,0,skipped
prm-729feeaa6d7fd49e,problem-1d11f9ffbe4eb325,1,essential,essential,1 x essential,middle,43,671,4,0,1.0,0.0,-1.0,4,0,1.0,,-562.5,1.0,false,1,4,eligible
prm-4d106f224c1f1477,problem-9762de06228ca9c9,0,redundant,harmful,0 x redundant,middle,47,532,4,4,1.0,1.0,0.0,0,0,0.0,,-25,1.0,false,1,3,eligible
prm-e2765e9155dae75b,problem-5df990bd825bcc70,1,essential,essential,1 x essential,early,41,308,4,2,1.0,0.5,-0.5,2,0,0.5,,-118,1.0,false,0,0,skipped
prm-85a91c7360442cec,problem-3b95366916efe8e8,-1,harmful,harmful,-1 x harmful,middle,13,457,0,0,0.0,0.0,0.0,0,0,,0.0,51.75,0.125,true,0,0,skipped
prm-685fe7b1359fce4f,problem-4bf09b4453a890ca,1,redundant,essential,1 x redundant,middle,18,431,4,4,1.0,1.0,0.0,0,0,0.0,,47,1.0,false,1,1,eligible
prm-2694ff7bb4a98ca8,problem-d43b5b59260aea9d,0,redundant,redundant,0 x redundant,early,26,296,4,4,1.0,1.0,0.0,0,0,0.0,,-106.5,1.0,false,1,4,eligible
prm-8115590161527562,problem-c4af92bf4d3d000a,-1,harmful,harmful,-1 x harmful,early,34,487,0,0,0.0,0.0,0.0,0,0,,0.0,-237.75,1.0,false,1,4,eligible
prm-21c4281b443f082f,problem-3d1f09ed5cfd53dc,1,harmful,essential,1 x harmful,early,19,354,4,2,1.0,0.5,-0.5,2,0,0.5,,108.25,1.0,false,1,4,eligible
prm-c3c805b2888f0c71,problem-ef20b746da9beeb2,-1,harmful,harmful,-1 x harmful,early,21,290,4,0,1.0,0.0,-1.0,4,0,1.0,,-451.25,1.0,false,1,2,eligible
prm-49db7302a176b729,problem-59b3380466ff1adb,0,harmful,redundant,0 x harmful,early,22,282,4,2,1.0,0.5,-0.5,2,0,0.5,,1.25,1.0,false,1,4,eligible
prm-9d7450aa50a1cc3f,problem-25b30ae82b7937f0,-1,harmful,harmful,-1 x harmful,middle,48,493,4,4,1.0,1.0,0.0,0,0,0.0,,24.5,1.0,false,1,1,eligible
prm-24a570f07e4ce807,problem-c0364fc64487e4ec,1,redundant,essential,1 x redundant,late,24,661,4,1,1.0,0.25,-0.75,3,0,0.75,,34,1.0,false,1,4,eligible
prm-f28e06b3ccb9dfd8,problem-4e48831b718f7ba2,1,redundant,redundant,1 x redundant,early,44,383,0,0,0.0,0.0,0.0,0,0,,0.0,1815,0.5,true,1,4,eligible
prm-1c1e7874f91737bc,problem-d3823d137562e66d,-1,harmful,harmful,-1 x harmful,early,62,391,0,0,0.0,0.0,0.0,0,0,,0.0,-1480.5,0.5,true,1,2,eligible
prm-f9aa238ea730d105,problem-9c621effde8b49ca,-1,harmful,harmful,-1 x harmful,late,268,854,0,0,0.0,0.0,0.0,0,0,,0.0,183,1.0,false,0,0,skipped
prm-2e5c19fc0f94ad0f,problem-6195174aabf201f9,1,redundant,redundant,1 x redundant,middle,20,455,2,4,0.5,1.0,0.5,0,2,0.0,1.0,-15.25,1.0,false,1,1,eligible
prm-b659045eab2bbc92,problem-c4f4fd84bb522f70,0,harmful,redundant,0 x harmful,early,26,387,4,4,1.0,1.0,0.0,0,0,0.0,,83,1.0,false,1,4,eligible
prm-579dd704ce645be9,problem-b5dc33c4111f2507,-1,harmful,harmful,-1 x harmful,middle,29,507,0,0,0.0,0.0,0.0,0,0,,0.0,20.75,1.0,false,1,3,eligible
prm-42aea905c1b49570,problem-e560d5cf6d3fecc5,0,redundant,redundant,0 x redundant,middle,44,601,4,4,1.0,1.0,0.0,0,0,0.0,,48,1.0,false,1,4,eligible
prm-db5fb9c45b89211e,problem-e86aeb48607d14cf,1,essential,essential,1 x essential,middle,24,580,4,0,1.0,0.0,-1.0,4,0,1.0,,-60.5,1.0,false,1,1,eligible
prm-b1b1d1fed6ca6e88,problem-88bd1d429ff4da88,0,redundant,redundant,0 x redundant,early,40,498,0,0,0.0,0.0,0.0,0,0,,0.0,112.5,1.0,false,1,4,eligible
prm-e165ab188607be7d,problem-137a333dfafa51d5,-1,essential,redundant,-1 x essential,early,31,456,0,0,0.0,0.0,0.0,0,0,,0.0,-169.25,1.0,false,1,2,eligible
prm-a17bb33b5cced852,problem-dd48d65e326606be,1,redundant,essential,1 x redundant,late,73,592,4,4,1.0,1.0,0.0,0,0,0.0,,11.25,1.0,false,1,1,eligible
prm-57b082ca295d4211,problem-9855ca472cb26c0b,0,redundant,redundant,0 x redundant,late,12,596,4,4,1.0,1.0,0.0,0,0,0.0,,-32,1.0,false,0,0,skipped
prm-67c15cd755da8374,problem-59930f06199891a2,1,essential,essential,1 x essential,early,13,484,4,4,1.0,1.0,0.0,0,0,0.0,,-2.75,1.0,false,0,0,skipped
prm-0c1ebea011e80ccd,problem-21b63c00bc0a7ef6,-1,harmful,harmful,-1 x harmful,middle,17,463,0,4,0.0,1.0,1.0,0,4,,1.0,-112,1.0,false,0,0,skipped
prm-b2a4ce5f01127d75,problem-25b30ae82b7937f0,1,redundant,essential,1 x redundant,late,23,418,4,4,1.0,1.0,0.0,0,0,0.0,,9.75,1.0,false,1,2,eligible
prm-e8da447d3e7aeca5,problem-87cc54d7f4f149ba,-1,harmful,essential,-1 x harmful,early,36,576,0,0,0.0,0.0,0.0,0,0,,0.0,249.5,1.0,false,1,4,eligible
prm-56f31f0da676983f,problem-45d2328486552db2,-1,harmful,harmful,-1 x harmful,middle,61,553,0,3,0.0,0.75,0.75,0,3,,0.75,-1372.5,0.375,true,1,2,eligible
prm-1988846108e0f682,problem-4e48831b718f7ba2,0,essential,essential,0 x essential,early,40,385,0,0,0.0,0.0,0.0,0,0,,0.0,829,0.75,true,1,4,eligible
prm-1363a310736c9808,problem-0df325974e409586,-1,harmful,harmful,-1 x harmful,early,47,472,0,0,0.0,0.0,0.0,0,0,,0.0,80,0.25,true,0,0,skipped
prm-1ef2f094b18fa4d5,problem-9f3b9f8d7ae2958e,-1,harmful,harmful,-1 x harmful,early,28,295,4,4,1.0,1.0,0.0,0,0,0.0,,-111.25,1.0,false,1,4,eligible
prm-b4ce181080c6935d,problem-50d8fc4d7e16382c,-1,redundant,redundant,-1 x redundant,middle,15,569,3,2,0.75,0.5,-0.25,1,0,0.333333,0.0,-38.75,1.0,false,0,0,skipped
prm-e5218a9b5d49ef04,problem-44174d8b3df5f07b,-1,harmful,harmful,-1 x harmful,early,32,310,0,3,0.0,0.75,0.75,0,3,,0.75,98.75,1.0,false,1,2,eligible
prm-934ae181dbf1e5d6,problem-e670b2f65bcd4b8c,-1,harmful,harmful,-1 x harmful,late,20,386,4,4,1.0,1.0,0.0,0,0,0.0,,-50,0.5,true,0,0,skipped
prm-4a41ea6ca0473740,problem-5a8c50102096a59a,0,redundant,redundant,0 x redundant,late,35,1229,0,1,0.0,0.25,0.25,0,1,,0.25,73.75,1.0,false,1,4,eligible
prm-df9bfb129e27eea5,problem-c09864a50ddd773b,0,harmful,essential,0 x harmful,middle,41,633,4,4,1.0,1.0,0.0,0,0,0.0,,-82.75,1.0,false,1,4,eligible
prm-cfbe55fef530eeea,problem-af2fadb634c99ff9,1,essential,essential,1 x essential,early,54,393,4,4,1.0,1.0,0.0,0,0,0.0,,-126.5,1.0,false,1,2,eligible
prm-c5d23e135f1567c3,problem-86dafa426d0346e1,-1,harmful,harmful,-1 x harmful,middle,158,390,0,0,0.0,0.0,0.0,0,0,,0.0,202.25,1.0,false,0,0,skipped
prm-17ba4f9e4d89154f,problem-e8bbc51e4f0cedba,-1,harmful,harmful,-1 x harmful,late,17,867,0,4,0.0,1.0,1.0,0,4,,1.0,21,1.0,false,1,4,eligible
prm-6a5663499dcdfb6e,problem-de2d1c474b9ee450,1,essential,redundant,1 x essential,early,30,362,3,4,0.75,1.0,0.25,0,1,0.0,1.0,44.75,1.0,false,1,4,eligible
prm-9e945c5a20713eba,problem-6a73c9a2c1ed843f,0,essential,essential,0 x essential,late,28,581,4,4,1.0,1.0,0.0,0,0,0.0,,3,1.0,false,1,4,eligible
prm-bf79591055298bcd,problem-d051c7975db227d7,-1,harmful,harmful,-1 x harmful,late,51,1033,0,0,0.0,0.0,0.0,0,0,,0.0,204.75,1.0,false,1,4,eligible
prm-61fb797f33ef26d1,problem-32c3cda4fa5ff5d1,-1,harmful,harmful,-1 x harmful,late,18,615,4,4,1.0,1.0,0.0,0,0,0.0,,-9.75,1.0,false,1,4,eligible
prm-d828d740ba9cd096,problem-ab7e10c4af73c9ed,1,essential,essential,1 x essential,early,18,364,4,4,1.0,1.0,0.0,0,0,0.0,,-107,1.0,false,1,4,eligible
prm-81dd96c2af2f5b96,problem-c26fe5040bbc76a5,1,essential,essential,1 x essential,early,72,327,0,1,0.0,0.25,0.25,0,1,,0.25,370.5,1.0,false,0,0,skipped
prm-53e6ba65d64de23f,problem-81b70497c6720b0f,-1,harmful,harmful,-1 x harmful,middle,648,427,0,0,0.0,0.0,0.0,0,0,,0.0,473,1.0,false,0,0,skipped
prm-569d7cf9abe65f34,problem-2aeafb5e569f94dd,1,essential,essential,1 x essential,early,35,314,0,4,0.0,1.0,1.0,0,4,,1.0,-1851.5,0.5,true,1,4,eligible
prm-51383cc20140c6d4,problem-0887851f3251fb23,0,redundant,redundant,0 x redundant,middle,6,494,4,4,1.0,1.0,0.0,0,0,0.0,,-1,1.0,false,0,0,skipped
prm-60b56f07df1c7db4,problem-e6376885ffd20df9,-1,harmful,harmful,-1 x harmful,middle,46,521,0,0,0.0,0.0,0.0,0,0,,0.0,394.25,1.0,false,1,4,eligible
prm-738ac1e91010e501,problem-a4a92af384d88e0b,1,redundant,essential,1 x redundant,early,28,303,4,4,1.0,1.0,0.0,0,0,0.0,,6,1.0,false,1,1,eligible
prm-ebe33b841de11dec,problem-6f0e66a3f1cbf245,1,essential,essential,1 x essential,late,29,655,4,4,1.0,1.0,0.0,0,0,0.0,,8,1.0,false,1,4,eligible
prm-178620daeb1c879c,problem-85bf82715fb1ee12,1,essential,essential,1 x essential,late,29,425,4,4,1.0,1.0,0.0,0,0,0.0,,-79,1.0,false,1,1,eligible
prm-0ea143eb25e18743,problem-7c500c083448945b,0,essential,essential,0 x essential,middle,55,720,0,0,0.0,0.0,0.0,0,0,,0.0,154,1.0,false,1,2,eligible
prm-48b0d62a1035c5eb,problem-746eb37011dd5080,-1,harmful,essential,-1 x harmful,early,45,411,4,4,1.0,1.0,0.0,0,0,0.0,,-60.25,1.0,false,1,3,eligible
prm-1eb61d347e7307c6,problem-53216a75c996f35c,1,redundant,redundant,1 x redundant,late,8,496,4,4,1.0,1.0,0.0,0,0,0.0,,30,1.0,false,0,0,skipped
prm-6c647c9d900edecf,problem-ec4a6e5635d208d7,0,essential,harmful,0 x essential,late,54,905,0,0,0.0,0.0,0.0,0,0,,0.0,-12.5,0.875,true,1,1,eligible
prm-7616aa089b45809c,problem-9762de06228ca9c9,0,essential,essential,0 x essential,late,21,604,4,4,1.0,1.0,0.0,0,0,0.0,,-71.25,1.0,false,1,3,eligible
prm-c5d0b2ae9f6de94a,problem-42517366b010dd6b,1,redundant,redundant,1 x redundant,middle,20,592,2,0,0.5,0.0,-0.5,2,0,1.0,0.0,53,1.0,false,1,4,eligible
prm-32ce22f0573267db,problem-4ecc75de961c1f8e,1,redundant,essential,1 x redundant,early,31,302,0,4,0.0,1.0,1.0,0,4,,1.0,37.75,1.0,false,1,4,eligible
prm-73806d5bdc6ee15f,problem-a153bf646bb8dfb0,0,redundant,essential,0 x redundant,late,35,668,4,4,1.0,1.0,0.0,0,0,0.0,,-45.25,1.0,false,1,4,eligible
prm-44adc004d54b0a92,problem-fdc8aba1c1ade2de,0,redundant,redundant,0 x redundant,middle,15,657,0,0,0.0,0.0,0.0,0,0,,0.0,27.25,1.0,false,0,0,skipped
prm-e853a7a5555f3056,problem-57d488b1dac9c921,1,essential,redundant,1 x essential,early,40,302,0,0,0.0,0.0,0.0,0,0,,0.0,108.5,0.875,true,1,4,eligible
prm-def1910362f8da38,problem-c09864a50ddd773b,1,essential,essential,1 x essential,early,38,327,4,2,1.0,0.5,-0.5,2,0,0.5,,211,0.75,true,1,4,eligible
prm-2d520973414e1dcb,problem-1866ff06f6f007c8,1,redundant,redundant,1 x redundant,middle,44,506,4,2,1.0,0.5,-0.5,2,0,0.5,,53.25,1.0,false,1,4,eligible
prm-0000660f74dea7ea,problem-eed9594538d18b57,0,harmful,harmful,0 x harmful,middle,36,548,0,0,0.0,0.0,0.0,0,0,,0.0,148,0.75,true,1,2,eligible
prm-6fb0c8f8ee2ebabd,problem-8c8f96252d975acd,0,harmful,redundant,0 x harmful,middle,24,531,3,4,0.75,1.0,0.25,0,1,0.0,1.0,97,1.0,false,1,4,eligible
prm-3d9ad8daca3b8faa,problem-d7d47865fbb51ce6,-1,harmful,harmful,-1 x harmful,late,35,758,4,4,1.0,1.0,0.0,0,0,0.0,,-176.5,1.0,false,1,4,eligible
prm-2413c903941648a5,problem-118be303d7abffbe,-1,essential,harmful,-1 x essential,early,29,347,0,4,0.0,1.0,1.0,0,4,,1.0,-161.5,1.0,false,1,4,eligible
prm-45c25b865bce0fe1,problem-a761c38205b1ac25,-1,essential,essential,-1 x essential,early,76,418,0,0,0.0,0.0,0.0,0,0,,0.0,29.75,1.0,false,1,2,eligible
prm-c7fdd3c01ea7968c,problem-3c77f3abead87cb6,1,essential,essential,1 x essential,late,35,538,2,4,0.5,1.0,0.5,0,2,0.0,1.0,14.5,1.0,false,1,4,eligible
prm-b30d7b8afa669a70,problem-4ecfbe0b1cc77e4e,-1,essential,essential,-1 x essential,early,26,492,0,4,0.0,1.0,1.0,0,4,,1.0,-17,1.0,false,1,4,eligible
prm-9d4dfc92d2809bdb,problem-9762de06228ca9c9,0,redundant,essential,0 x redundant,late,31,650,4,4,1.0,1.0,0.0,0,0,0.0,,42.75,1.0,false,1,4,eligible
prm-d22d355799e3baaf,problem-42517366b010dd6b,-1,harmful,harmful,-1 x harmful,middle,35,721,0,0,0.0,0.0,0.0,0,0,,0.0,-168,1.0,false,1,4,eligible
prm-735ea9ae49ab1cf2,problem-dbb4f569f90ecb0e,0,essential,redundant,0 x essential,early,47,487,0,0,0.0,0.0,0.0,0,0,,0.0,-61,0.5,true,0,0,skipped
prm-fe9bce2e8059e597,problem-2751b7253592e67a,-1,harmful,harmful,-1 x harmful,middle,38,389,4,4,1.0,1.0,0.0,0,0,0.0,,58.5,1.0,false,0,0,skipped
prm-caf345262620d432,problem-fc0b0712fe1587cc,0,redundant,redundant,0 x redundant,late,21,695,4,4,1.0,1.0,0.0,0,0,0.0,,-39,1.0,false,1,4,eligible
prm-2a5b9be75f2130c8,problem-24cffc732716cb8f,-1,harmful,harmful,-1 x harmful,early,28,404,0,4,0.0,1.0,1.0,0,4,,1.0,71,1.0,false,1,3,eligible
prm-7cf98f01d85acf4d,problem-d4b934f6ede28d75,1,harmful,essential,1 x harmful,middle,57,858,2,4,0.5,1.0,0.5,0,2,0.0,1.0,-12.5,1.0,false,1,4,eligible
prm-f43ad1cb6c3aa6ba,problem-4639686b328fdf30,0,essential,essential,0 x essential,late,20,646,0,0,0.0,0.0,0.0,0,0,,0.0,-15,1.0,false,1,4,eligible
prm-f66c436ea5314143,problem-c97bae96c69a7454,-1,redundant,redundant,-1 x redundant,late,42,922,0,4,0.0,1.0,1.0,0,4,,1.0,-1743.25,0.5,true,1,4,eligible
prm-e457a6097bf292ad,problem-88f73baedbff623c,1,essential,essential,1 x essential,late,24,533,4,4,1.0,1.0,0.0,0,0,0.0,,-87,1.0,false,1,3,eligible
prm-d43403303ce7ca47,problem-ab8474b5c891f6bb,0,redundant,essential,0 x redundant,late,32,822,0,0,0.0,0.0,0.0,0,0,,0.0,59,1.0,false,1,4,eligible
prm-91db4cb8cb67916a,problem-0809a483e113340d,1,redundant,essential,1 x redundant,early,54,575,4,3,1.0,0.75,-0.25,1,0,0.25,,352,0.875,true,1,4,eligible
prm-24135c674fb88634,problem-a5b3b535a7854a82,-1,harmful,harmful,-1 x harmful,middle,36,697,0,4,0.0,1.0,1.0,0,4,,1.0,-90,1.0,false,1,2,eligible
prm-d139e98806701b02,problem-b85cd3a0d61d8d2a,0,redundant,redundant,0 x redundant,late,25,584,4,4,1.0,1.0,0.0,0,0,0.0,,0,1.0,false,1,1,eligible
prm-499e50d1f2d6148c,problem-18a164d5c1185eef,-1,harmful,harmful,-1 x harmful,early,59,306,4,4,1.0,1.0,0.0,0,0,0.0,,52,1.0,false,0,0,skipped
prm-e31d87a5f18e7b0e,problem-81dd044c95a0fca3,1,essential,essential,1 x essential,middle,33,701,0,0,0.0,0.0,0.0,0,0,,0.0,-457.5,0.875,true,1,2,eligible
prm-02dc733a400c8a44,problem-4ad774d03e1d7ae9,-1,harmful,harmful,-1 x harmful,early,30,407,2,3,0.5,0.75,0.25,0,1,0.0,0.5,-13,1.0,false,1,4,eligible
prm-d9a76b21965836c2,problem-4eb54cd64aed6e3c,-1,harmful,harmful,-1 x harmful,late,28,602,4,0,1.0,0.0,-1.0,4,0,1.0,,-163,0.5,true,0,0,skipped
prm-a3a05daf8f16a52f,problem-4639686b328fdf30,0,essential,essential,0 x essential,early,23,495,4,0,1.0,0.0,-1.0,4,0,1.0,,-275.25,1.0,false,1,4,eligible
prm-47679397406393e0,problem-22d4c2de98f5c342,1,redundant,redundant,1 x redundant,early,22,425,3,4,0.75,1.0,0.25,0,1,0.0,1.0,19.75,1.0,false,1,4,eligible
prm-1b82baadae1514fc,problem-fb2f7de9a9991585,-1,harmful,harmful,-1 x harmful,early,46,316,0,0,0.0,0.0,0.0,0,0,,0.0,77.25,1.0,false,1,3,eligible
prm-01441d1b7d95366c,problem-cbe5b6b45a9ab948,1,essential,essential,1 x essential,middle,58,426,0,4,0.0,1.0,1.0,0,4,,1.0,-1753,0.5,true,1,1,eligible
prm-8acbcd62bf310d16,problem-07f83eec628533b9,1,redundant,essential,1 x redundant,middle,26,541,4,4,1.0,1.0,0.0,0,0,0.0,,29.75,1.0,false,1,3,eligible
prm-14fb1048eb99d376,problem-76bb173b20d420b6,-1,redundant,redundant,-1 x redundant,late,16,584,3,4,0.75,1.0,0.25,0,1,0.0,1.0,8.25,1.0,false,0,0,skipped
prm-295680b6ca231154,problem-3367017f1ecb3df4,-1,essential,essential,-1 x essential,early,31,434,4,4,1.0,1.0,0.0,0,0,0.0,,32.25,1.0,false,1,4,eligible
prm-f2aca719a99dc3e9,problem-5a8c50102096a59a,-1,harmful,harmful,-1 x harmful,late,47,723,0,0,0.0,0.0,0.0,0,0,,0.0,1186,0.75,true,1,2,eligible
prm-47a902d41e673ff6,problem-116237dfe3dbfe5a,0,redundant,redundant,0 x redundant,middle,37,647,1,3,0.25,0.75,0.5,0,2,0.0,0.666667,419.25,0.875,true,1,4,eligible
prm-0700321e0038e3d1,problem-3d1f09ed5cfd53dc,0,redundant,redundant,0 x redundant,early,33,300,4,0,1.0,0.0,-1.0,4,0,1.0,,-56,1.0,false,1,1,eligible
prm-9156dcd21a3e42c0,problem-693ebe9d1ed71104,1,essential,essential,1 x essential,middle,38,377,4,4,1.0,1.0,0.0,0,0,0.0,,65,1.0,false,1,1,eligible
prm-14c85f1b92bf8cfb,problem-d617e0f458c4b1fa,-1,harmful,harmful,-1 x harmful,middle,57,460,4,4,1.0,1.0,0.0,0,0,0.0,,-52.25,1.0,false,1,1,eligible
prm-8fb8c12bb402ec2d,problem-de0c58f09875d127,0,redundant,redundant,0 x redundant,late,45,519,4,4,1.0,1.0,0.0,0,0,0.0,,-34,1.0,false,1,1,eligible
prm-65435eea6f0c0b9a,problem-17002c400ab54889,0,redundant,redundant,0 x redundant,late,9,586,4,4,1.0,1.0,0.0,0,0,0.0,,-41,1.0,false,0,0,skipped
prm-66bc41cfa62d57e2,problem-cf3312d83cf0bc46,1,essential,essential,1 x essential,late,31,607,1,0,0.25,0.0,-0.25,1,0,1.0,0.0,52.5,1.0,false,1,4,eligible
prm-2dfd8218ce19b305,problem-59930f06199891a2,0,redundant,redundant,0 x redundant,late,20,854,4,4,1.0,1.0,0.0,0,0,0.0,,1.25,1.0,false,1,4,eligible
prm-b7f05eda927bf837,problem-72d9cb6397e8c5fb,0,redundant,redundant,0 x redundant,middle,75,828,1,0,0.25,0.0,-0.25,1,0,1.0,0.0,-195.75,1.0,false,1,2,eligible
prm-57a23b7d9d387a2d,problem-32b099c0f5aec3b1,0,harmful,harmful,0 x harmful,middle,54,610,0,4,0.0,1.0,1.0,0,4,,1.0,-29.5,1.0,false,1,1,eligible
prm-e0c68e2f69c92ce1,problem-e497bfcb257b3f78,0,harmful,essential,0 x harmful,middle,37,736,0,0,0.0,0.0,0.0,0,0,,0.0,-874.25,1.0,false,1,4,eligible
prm-ac01250021f796d9,problem-4639686b328fdf30,0,redundant,essential,0 x redundant,middle,28,675,0,4,0.0,1.0,1.0,0,4,,1.0,-70.75,1.0,false,1,4,eligible
prm-0ade6393f937db17,problem-bdd43ed050657861,1,redundant,essential,1 x redundant,middle,29,459,4,4,1.0,1.0,0.0,0,0,0.0,,-105,1.0,false,1,1,eligible
prm-77a86cb6e4dfd1aa,problem-4ee4220e8bc8cdab,1,essential,essential,1 x essential,middle,30,364,4,3,1.0,0.75,-0.25,1,0,0.25,,26.75,1.0,false,1,2,eligible
prm-99891d43a5e736a5,problem-eb20fcfbc7fe587d,0,redundant,essential,0 x redundant,late,71,810,4,4,1.0,1.0,0.0,0,0,0.0,,-3.75,1.0,false,1,1,eligible
prm-977f248f4b7b1084,problem-71eae2be9ad19da7,0,redundant,redundant,0 x redundant,middle,39,448,4,3,1.0,0.75,-0.25,1,0,0.25,,11.5,0.875,true,1,1,eligible
prm-f77af5e177e450d9,problem-30257ce512a9dbe4,0,essential,essential,0 x essential,late,50,730,2,4,0.5,1.0,0.5,0,2,0.0,1.0,80,1.0,false,1,2,eligible
prm-55ea704e2707c428,problem-ec4a6e5635d208d7,0,redundant,redundant,0 x redundant,middle,75,394,4,4,1.0,1.0,0.0,0,0,0.0,,13.75,1.0,false,0,0,skipped
prm-3ef9d1189683f74d,problem-f25c15fb353535a8,-1,harmful,essential,-1 x harmful,late,11,534,0,4,0.0,1.0,1.0,0,4,,1.0,-49.25,0.875,true,0,0,skipped
prm-51eccaad45590836,problem-2bf2a416429c8a87,-1,harmful,essential,-1 x harmful,middle,28,472,3,4,0.75,1.0,0.25,0,1,0.0,1.0,-21.25,1.0,false,1,4,eligible
prm-ac1c971aefdf8aad,problem-543fa2b4f0fe3ef6,0,harmful,redundant,0 x harmful,early,52,341,4,2,1.0,0.5,-0.5,2,0,0.5,,-164,1.0,false,1,2,eligible
prm-14d4896af9e2f42b,problem-827611782a6a81f2,-1,harmful,harmful,-1 x harmful,early,63,431,0,0,0.0,0.0,0.0,0,0,,0.0,-1904,0.5,true,1,3,eligible
prm-e5b42c42ddfdfe89,problem-72d9cb6397e8c5fb,0,redundant,redundant,0 x redundant,early,41,486,1,4,0.25,1.0,0.75,0,3,0.0,1.0,469.5,1.0,false,1,2,eligible
prm-24a4a38cf78a16b4,problem-b884ea4dff439d89,-1,harmful,harmful,-1 x harmful,late,21,647,0,0,0.0,0.0,0.0,0,0,,0.0,1520.25,0.25,true,0,0,skipped
prm-4dbc982a4c31d7d8,problem-2ac3a772d4b2a706,1,harmful,essential,1 x harmful,late,26,817,4,4,1.0,1.0,0.0,0,0,0.0,,-72.5,1.0,false,1,4,eligible
prm-92cd9c4d155c7994,problem-a54460c3eddba3c4,0,redundant,redundant,0 x redundant,early,31,286,4,4,1.0,1.0,0.0,0,0,0.0,,-121.75,1.0,false,1,1,eligible
prm-d86397c6b2e063ff,problem-498bac6c50d80f1b,0,essential,redundant,0 x essential,early,44,313,4,0,1.0,0.0,-1.0,4,0,1.0,,-53,1.0,false,1,3,eligible
prm-fb4120427f491cb1,problem-1d11f9ffbe4eb325,1,harmful,essential,1 x harmful,late,74,718,0,0,0.0,0.0,0.0,0,0,,0.0,62.5,1.0,false,0,0,skipped
prm-b141684d5ef466c9,problem-18a164d5c1185eef,0,redundant,redundant,0 x redundant,middle,41,561,4,4,1.0,1.0,0.0,0,0,0.0,,-20.25,1.0,false,1,3,eligible
prm-00177cb1b6246e3e,problem-b366ba898e337926,1,essential,essential,1 x essential,late,30,749,4,4,1.0,1.0,0.0,0,0,0.0,,-8,1.0,false,1,4,eligible
prm-edfe3301d75e7278,problem-ea0162ad089adfef,-1,harmful,harmful,-1 x harmful,late,38,805,0,0,0.0,0.0,0.0,0,0,,0.0,-155.25,1.0,false,1,4,eligible
prm-64c48353bed266ed,problem-07f83eec628533b9,0,essential,redundant,0 x essential,early,31,437,1,2,0.25,0.5,0.25,0,1,0.0,0.333333,32.75,1.0,false,1,2,eligible
prm-9aefc3c8b6098bf4,problem-89ee4e5ddd25b8e0,0,essential,redundant,0 x essential,early,31,322,0,1,0.0,0.25,0.25,0,1,,0.25,621.75,1.0,false,1,2,eligible
prm-210861cfb25add07,problem-9762de06228ca9c9,0,redundant,essential,0 x redundant,late,30,681,4,4,1.0,1.0,0.0,0,0,0.0,,8.25,1.0,false,1,4,eligible
prm-fa87724dc0063e72,problem-a4a92af384d88e0b,-1,harmful,harmful,-1 x harmful,late,21,534,4,4,1.0,1.0,0.0,0,0,0.0,,-42.75,1.0,false,1,4,eligible
prm-7a6e2d9a9da28f78,problem-cb95bc64c75cf167,-1,harmful,harmful,-1 x harmful,early,30,447,0,1,0.0,0.25,0.25,0,1,,0.25,157.75,1.0,false,1,4,eligible
prm-656a46c9640db820,problem-24b6ac402f7f606f,0,redundant,redundant,0 x redundant,early,31,351,4,1,1.0,0.25,-0.75,3,0,0.75,,-124.75,1.0,false,1,3,eligible
prm-d9e44ee7bd1dadc6,problem-9659416657d19153,-1,harmful,harmful,-1 x harmful,late,87,500,0,4,0.0,1.0,1.0,0,4,,1.0,33.25,0.625,true,0,0,skipped
prm-7a821b119f49c100,problem-71fc61f49bcfcd8f,1,redundant,redundant,1 x redundant,early,30,352,4,3,1.0,0.75,-0.25,1,0,0.25,,93.75,1.0,false,1,4,eligible
prm-76baed35df6fb032,problem-3e3197b5f708b626,1,redundant,essential,1 x redundant,middle,42,450,4,4,1.0,1.0,0.0,0,0,0.0,,16.75,1.0,false,1,3,eligible
prm-f418b9680e5a9dc1,problem-80883c8d718e7942,-1,harmful,redundant,-1 x harmful,early,36,324,4,4,1.0,1.0,0.0,0,0,0.0,,-38.5,1.0,false,1,4,eligible
