"sampleId","rating","stepTypeLabel","position","placeboRuns","placeboCorrect","controlAvgCorrect","targetAvgCorrect","placeboAvgCorrect","targetEffect","placeboEffect","pureSemanticEffect"
"prm-9d7450aa50a1cc3f","-1","harmful","middle","1","1","1","1","1","0","0","0"
"prm-9db27c5e8855d8c2","-1","harmful","late","2","2","1","1","1","0","0","0"
"prm-9def3665fa2dd260","1","harmful","middle","4","2","0.75","1","0.5","0.25","-0.25","0.5"
"prm-9df86fcdc40baf88","1","essential","early","4","2","0.25","0.75","0.5","0.5","0.25","0.25"
"prm-9e945c5a20713eba","0","essential","late","4","4","1","1","1","0","0","0"
"prm-9eb976f5fba8a1ea","-1","harmful","early","1","0","0","0","0","0","0","0"
"prm-9ef4a4362f8a777c","0","essential","middle","4","4","1","1","1","0","0","0"
"prm-9f3753744da09c38","-1","harmful","middle","1","0","0","0","0","0","0","0"
"prm-9f8de872e85deb1c","1","essential","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-a081faca165fd59b","-1","harmful","early","4","0","0","0","0","0","0","0"
"prm-a0bf5d5817e64ebf","1","essential","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-a136374e0913b303","1","redundant","late","4","4","1","1","1","0","0","0"
"prm-a15fb929dff59e97","-1","harmful","middle","4","0","0","0","0","0","0","0"
"prm-a17bb33b5cced852","1","redundant","late","1","1","1","1","1","0","0","0"
"prm-a1de62b9ef1cf246","0","essential","early","2","0","1","0","0","-1","-1","0"
"prm-a304fbad5368565d","-1","harmful","late","4","2","0.25","1","0.5","0.75","0.25","0.5"
"prm-a3120089f800f1e1","-1","harmful","middle","1","0","0","0","0","0","0","0"
"prm-a32a5104eb5cd351","-1","harmful","late","4","3","0","1","0.75","1","0.75","0.25"
"prm-a33bd2bed39c0904","1","redundant","early","4","2","1","1","0.5","0","-0.5","0.5"
"prm-a3a05daf8f16a52f","0","essential","early","4","3","1","0","0.75","-1","-0.25","-0.75"
"prm-a3fb1524920e2118","0","redundant","middle","1","0","1","1","0","0","-1","1"
"prm-a4aa6a22f3134565","0","redundant","late","4","1","1","1","0.25","0","-0.75","0.75"
"prm-a50457954dbd885f","1","redundant","middle","4","4","1","1","1","0","0","0"
"prm-a540f461a25e3009","1","redundant","late","4","4","1","1","1","0","0","0"
"prm-a625e035a295d2bd","0","essential","early","4","0","0.5","1","0","0.5","-0.5","1"
"prm-a6f6b01911605940","-1","harmful","early","1","0","0","0.75","0","0.75","0","0.75"
"prm-a774fd18d4116fb7","0","redundant","early","2","1","1","1","0.5","0","-0.5","0.5"
"prm-a795bb4c871ed999","-1","harmful","middle","4","0","0","0.75","0","0.75","0","0.75"
"prm-a7a5bc91e1e562b3","0","redundant","middle","4","4","1","1","1","0","0","0"
"prm-a7ee94dec2e0a9cc","-1","harmful","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-a89889ad37cbc7e2","-1","harmful","late","2","2","1","1","1","0","0","0"
"prm-a8a8bda6701d4be2","0","harmful","middle","1","0","1","0.75","0","-0.25","-1","0.75"
"prm-a8f0f0d569ae9708","-1","harmful","late","2","1","0","1","0.5","1","0.5","0.5"
"prm-a9006452bf5662ee","-1","redundant","early","4","4","1","1","1","0","0","0"
"prm-a9976436ac395dce","0","essential","middle","4","2","0","0","0.5","0","0.5","-0.5"
"prm-ab1c7130781f0c6b","0","harmful","middle","2","1","1","0","0.5","-1","-0.5","-0.5"
"prm-ab761a525cce7441","1","essential","middle","2","2","0","1","1","1","1","0"
"prm-ac01250021f796d9","0","redundant","middle","4","3","0","1","0.75","1","0.75","0.25"
"prm-ac1b5da6715754b0","-1","harmful","early","4","0","0","0","0","0","0","0"
"prm-ac1c971aefdf8aad","0","harmful","early","2","0","1","0.5","0","-0.5","-1","0.5"
"prm-ac91d34d7871bcbc","0","essential","middle","1","0","1","0.25","0","-0.75","-1","0.25"
"prm-aca8e5373e4b0749","1","essential","middle","3","0","0","0","0","0","0","0"
"prm-ad9e7fa994103189","0","redundant","middle","3","2","0","1","0.666666666666667","1","0.666666666666667","0.333333333333333"
"prm-ae250ba55293ea93","1","essential","early","3","3","0.5","1","1","0.5","0.5","0"
"prm-afb60f3ac0dd9a0b","0","harmful","middle","4","4","1","1","1","0","0","0"
"prm-afff103ac71bacae","-1","harmful","late","1","0","0","1","0","1","0","1"
"prm-b02cba206762c771","1","essential","middle","2","2","1","1","1","0","0","0"
"prm-b09e1aa4bb87ee7c","1","harmful","late","2","0","0","0","0","0","0","0"
"prm-b10138ab1454a3dc","1","redundant","middle","1","1","0","0.5","1","0.5","1","-0.5"
"prm-b141684d5ef466c9","0","redundant","middle","3","3","1","1","1","0","0","0"
"prm-b16889ee222c85e0","0","harmful","middle","4","2","0.25","0","0.5","-0.25","0.25","-0.5"
"prm-b1821859ea0c9d57","1","redundant","middle","4","4","1","1","1","0","0","0"
"prm-b1b1d1fed6ca6e88","0","redundant","early","4","1","0","0","0.25","0","0.25","-0.25"
"prm-b22345a73912d695","1","essential","middle","1","1","1","1","1","0","0","0"
"prm-b2a4ce5f01127d75","1","redundant","late","2","2","1","1","1","0","0","0"
"prm-b30d7b8afa669a70","-1","essential","early","4","2","0","1","0.5","1","0.5","0.5"
"prm-b35e05ba41e78a12","1","essential","early","4","4","1","1","1","0","0","0"
"prm-b3c55327f85d52bf","-1","essential","late","1","1","1","0.5","1","-0.5","0","-0.5"
"prm-b4172ae8c86b6f76","0","redundant","early","4","1","0.25","1","0.25","0.75","0","0.75"
"prm-b46df73b9c7f1dd9","-1","harmful","late","1","1","0","1","1","1","1","0"
"prm-b4b221e907450223","0","redundant","late","1","1","1","1","1","0","0","0"
"prm-b51944c22596b644","1","essential","late","4","3","0","0","0.75","0","0.75","-0.75"
"prm-b51dfeb3b8305067","1","essential","early","4","1","0","0","0.25","0","0.25","-0.25"
"prm-b59d428fdeb2db81","1","essential","late","4","4","1","0.75","1","-0.25","0","-0.25"
"prm-b5f8d24593f1e708","0","redundant","late","4","4","1","1","1","0","0","0"
"prm-b61370dd7f97aa7c","1","essential","early","3","1","1","1","0.333333333333333","0","-0.666666666666667","0.666666666666667"
"prm-b659045eab2bbc92","0","harmful","early","4","4","1","1","1","0","0","0"
"prm-b78ab37efb3ac6fe","-1","harmful","late","2","2","1","1","1","0","0","0"
"prm-b7f05eda927bf837","0","redundant","middle","2","1","0.25","0","0.5","-0.25","0.25","-0.5"
"prm-b8457436293d4e60","-1","harmful","late","1","1","0","0","1","0","1","-1"
"prm-b8a1339e40d14487","0","harmful","middle","4","3","0","0.75","0.75","0.75","0.75","0"
"prm-b8e3cc348f791b5a","-1","harmful","late","4","4","1","1","1","0","0","0"
"prm-b93ffe4952ee0425","-1","harmful","early","2","0","1","1","0","0","-1","1"
"prm-bbc52970464fbf13","0","essential","middle","3","3","1","1","1","0","0","0"
"prm-bc4cdb54673acb6b","0","redundant","early","4","1","0","0","0.25","0","0.25","-0.25"
"prm-bcf33e68e625980e","-1","harmful","early","1","0","0","0","0","0","0","0"
"prm-bd5151d40527ffa0","0","redundant","middle","4","3","0","0","0.75","0","0.75","-0.75"
"prm-bd9c89c30ff0439e","1","essential","late","4","2","0.75","1","0.5","0.25","-0.25","0.5"
"prm-bda20d3dc84e4528","0","redundant","early","4","4","1","1","1","0","0","0"
"prm-bdb3ede8ec7d1902","0","redundant","middle","2","2","0","1","1","1","1","0"
"prm-bedcbd8166cb0b0f","1","essential","late","1","1","1","1","1","0","0","0"
"prm-bf052d7ceb54371a","-1","harmful","early","4","2","0","0.25","0.5","0.25","0.5","-0.25"
"prm-bf49cda9c1b58b99","-1","harmful","early","1","1","1","1","1","0","0","0"
"prm-bf79591055298bcd","-1","harmful","late","4","0","0","0","0","0","0","0"
"prm-bfc1c5c3c815660c","-1","harmful","early","4","3","1","1","0.75","0","-0.25","0.25"
"prm-c01bc07ec8bcb448","-1","harmful","early","4","0","0","0.25","0","0.25","0","0.25"
"prm-c03abfd4982e0b4e","-1","harmful","middle","3","3","0","1","1","1","1","0"
"prm-c1d4d174440821f2","0","essential","late","4","0","0.5","0","0","-0.5","-0.5","0"
"prm-c1da18d5eb32eafe","1","essential","early","4","0","0","0","0","0","0","0"
"prm-c3c805b2888f0c71","-1","harmful","early","2","0","1","0","0","-1","-1","0"
"prm-c502b3dc0f88dfaf","-1","harmful","early","4","1","0.25","0.25","0.25","0","0","0"
"prm-c5d0b2ae9f6de94a","1","redundant","middle","4","0","0.5","0","0","-0.5","-0.5","0"
"prm-c724e22efcbb6540","-1","harmful","early","2","0","0","0","0","0","0","0"
"prm-c796e9f10b13c8d1","0","essential","middle","1","1","1","1","1","0","0","0"
"prm-c7bf20109ee3402e","-1","harmful","late","2","1","0","1","0.5","1","0.5","0.5"
"prm-c7fdd3c01ea7968c","1","essential","late","4","2","0.5","1","0.5","0.5","0","0.5"
"prm-c93b572ed45d09e3","-1","harmful","middle","1","1","1","1","1","0","0","0"
"prm-c95bf35f36e49166","0","redundant","late","4","1","1","1","0.25","0","-0.75","0.75"
"prm-c95d41ec650cb773","-1","harmful","middle","3","0","1","1","0","0","-1","1"
"prm-c9fe17645948c6da","0","redundant","middle","4","2","1","1","0.5","0","-0.5","0.5"
"prm-ca096eb77c3d707b","0","redundant","early","1","0","0","0.75","0","0.75","0","0.75"
"prm-ca8fbd8bc5e76268","1","essential","early","1","0","0","0","0","0","0","0"
"prm-caf345262620d432","0","redundant","late","4","4","1","1","1","0","0","0"
"prm-cb3eed5635ac46b4","0","harmful","early","4","0","1","1","0","0","-1","1"
"prm-cb4a5cbf9bb5b458","1","essential","early","4","1","0.5","0","0.25","-0.5","-0.25","-0.25"
"prm-cbc588184fc6053c","1","essential","middle","4","2","0.25","0","0.5","-0.25","0.25","-0.5"
"prm-cc448d173bf0a3b0","1","redundant","early","4","2","0","0.75","0.5","0.75","0.5","0.25"
"prm-cd2eef413f1492b7","1","essential","middle","2","2","1","0.75","1","-0.25","0","-0.25"
"prm-ce7da7c55243f250","-1","harmful","early","2","0","0.25","0","0","-0.25","-0.25","0"
"prm-ce91b518cab83f12","-1","harmful","early","1","0","0.25","0","0","-0.25","-0.25","0"
"prm-cea36bdf052fa8d6","-1","harmful","early","3","0","0","0","0","0","0","0"
"prm-cfbe55fef530eeea","1","essential","early","2","2","1","1","1","0","0","0"
"prm-cfef1e0669eb8eee","1","essential","early","4","3","0","0.75","0.75","0.75","0.75","0"
"prm-d018213d57c7afde","1","redundant","middle","4","4","0.75","1","1","0.25","0.25","0"
"prm-d10dadbf854a3250","-1","harmful","late","4","1","0","1","0.25","1","0.25","0.75"
"prm-d139e98806701b02","0","redundant","late","1","1","1","1","1","0","0","0"
"prm-d14414ada709f204","0","redundant","early","4","2","0","0.75","0.5","0.75","0.5","0.25"
"prm-d22d355799e3baaf","-1","harmful","middle","4","0","0","0","0","0","0","0"
"prm-d2f74008879c56dd","0","redundant","middle","2","2","0.75","0.5","1","-0.25","0.25","-0.5"
"prm-d3fcbd13ec57a842","1","redundant","middle","4","4","1","1","1","0","0","0"
"prm-d43403303ce7ca47","0","redundant","late","4","0","0","0","0","0","0","0"
"prm-d4926e70a53c8c17","1","redundant","early","3","1","1","1","0.333333333333333","0","-0.666666666666667","0.666666666666667"
"prm-d4c3a3c1d1cb0d1f","-1","harmful","middle","1","0","1","1","0","0","-1","1"
"prm-d7691ac94c48e3a4","1","essential","middle","1","1","1","1","1","0","0","0"
"prm-d7cd2fc406477b13","0","essential","middle","4","0","0.25","0","0","-0.25","-0.25","0"
"prm-d7fbf32a29279602","-1","harmful","middle","2","0","0","0","0","0","0","0"
"prm-d828d740ba9cd096","1","essential","early","4","3","1","1","0.75","0","-0.25","0.25"
"prm-d86397c6b2e063ff","0","essential","early","3","2","1","0","0.666666666666667","-1","-0.333333333333333","-0.666666666666667"
"prm-d87fe43bca23d224","-1","harmful","middle","2","2","0","0","1","0","1","-1"
"prm-d8dd25afa49d220a","1","redundant","early","4","1","1","0.75","0.25","-0.25","-0.75","0.5"
"prm-d96f1fc3f096f50e","0","essential","early","1","1","0.5","1","1","0.5","0.5","0"
"prm-d987eb66b5f962dd","1","harmful","middle","2","0","0","0.75","0","0.75","0","0.75"
"prm-da9a80d73183841e","0","redundant","early","4","3","0.25","0.5","0.75","0.25","0.5","-0.25"
"prm-db5fb9c45b89211e","1","essential","middle","1","0","1","0","0","-1","-1","0"
"prm-dba05e0cd479b592","-1","harmful","middle","3","0","0","0.5","0","0.5","0","0.5"
"prm-dbb76c0284dc2629","-1","harmful","early","4","0","0","0.75","0","0.75","0","0.75"
"prm-dbc12362d53ec14f","1","redundant","early","3","0","1","1","0","0","-1","1"
"prm-dbc1373a79928aa0","1","redundant","late","1","0","1","1","0","0","-1","1"
"prm-dc55f1d7dc4e178f","-1","harmful","middle","4","2","0","1","0.5","1","0.5","0.5"
"prm-dc919cb80f6423eb","0","redundant","early","4","0","0","0","0","0","0","0"
"prm-dd448bdba8557edf","-1","harmful","middle","4","1","0","1","0.25","1","0.25","0.75"
"prm-ddb44dca9b82bb3d","1","essential","early","4","3","1","1","0.75","0","-0.25","0.25"
"prm-de41ade60ddfc393","0","redundant","early","4","4","1","1","1","0","0","0"
"prm-de925ec448909016","1","essential","middle","4","2","0","0.25","0.5","0.25","0.5","-0.25"
"prm-decee9499f5fb0d7","-1","harmful","late","4","3","0","1","0.75","1","0.75","0.25"
"prm-def1910362f8da38","1","essential","early","4","2","1","0.5","0.5","-0.5","-0.5","0"
"prm-df2ec95ccf5f161f","0","harmful","middle","1","1","1","1","1","0","0","0"
"prm-df9bfb129e27eea5","0","harmful","middle","4","2","1","1","0.5","0","-0.5","0.5"
"prm-dfc9bfdaf9a344b2","1","redundant","middle","4","3","1","1","0.75","0","-0.25","0.25"
"prm-dfdb549c682c7822","-1","harmful","early","1","1","0","1","1","1","1","0"
"prm-dfed03ca959f8315","1","essential","middle","3","1","0","0","0.333333333333333","0","0.333333333333333","-0.333333333333333"
"prm-e0c68e2f69c92ce1","0","harmful","middle","4","0","0","0","0","0","0","0"
"prm-e165ab188607be7d","-1","essential","early","2","0","0","0","0","0","0","0"
"prm-e319831ecda4ad73","-1","harmful","late","4","4","1","1","1","0","0","0"
"prm-e31d87a5f18e7b0e","1","essential","middle","2","0","0","0","0","0","0","0"
"prm-e340bad68ddf9e2d","0","redundant","late","4","4","1","1","1","0","0","0"
"prm-e3b1b8595fa68428","0","harmful","early","4","4","1","1","1","0","0","0"
"prm-e457a6097bf292ad","1","essential","late","3","3","1","1","1","0","0","0"
"prm-e4c8f952bd2bcb69","0","essential","middle","4","3","1","1","0.75","0","-0.25","0.25"
"prm-e4f8aa072f5528f6","1","redundant","early","4","4","0","1","1","1","1","0"
"prm-e5218a9b5d49ef04","-1","harmful","early","2","0","0","0.75","0","0.75","0","0.75"
"prm-e57bd8bedd80b00d","-1","harmful","early","1","1","0.75","0.25","1","-0.5","0.25","-0.75"
"prm-e5a3f23bd55fe87a","-1","harmful","middle","4","0","0","0","0","0","0","0"
"prm-e5b42c42ddfdfe89","0","redundant","early","2","0","0.25","1","0","0.75","-0.25","1"
"prm-e742e4e78ed351e6","-1","essential","middle","1","1","0","0","1","0","1","-1"
"prm-e8138a79d9f11b5f","1","redundant","late","4","4","1","1","1","0","0","0"
"prm-e853a7a5555f3056","1","essential","early","4","3","0","0","0.75","0","0.75","-0.75"
"prm-e8da447d3e7aeca5","-1","harmful","early","4","0","0","0","0","0","0","0"
"prm-e9f04531a844d980","-1","harmful","late","1","1","0","1","1","1","1","0"
"prm-ea5630c2b42fdb9a","0","redundant","early","4","3","1","1","0.75","0","-0.25","0.25"
"prm-ea9c90dcf0197292","0","redundant","middle","3","0","0","0","0","0","0","0"
"prm-eb13f69f057980c9","0","redundant","late","1","1","1","1","1","0","0","0"
"prm-ebe33b841de11dec","1","essential","late","4","2","1","1","0.5","0","-0.5","0.5"
"prm-edfe3301d75e7278","-1","harmful","late","4","0","0","0","0","0","0","0"
"prm-ee33bfc442fd8af0","1","redundant","late","1","0","1","0.75","0","-0.25","-1","0.75"
"prm-ef29966d7a6bd3e2","0","redundant","early","1","0","1","1","0","0","-1","1"
"prm-f06f20e73957e088","1","essential","middle","4","4","1","1","1","0","0","0"
"prm-f15246b50fdc7a05","-1","harmful","early","2","0","0","0","0","0","0","0"
"prm-f17b27e710e8f147","-1","harmful","early","3","0","0","0","0","0","0","0"
"prm-f1c09b6fd89155cf","-1","harmful","late","2","2","0.5","1","1","0.5","0.5","0"
"prm-f209abf6bbcf46bb","-1","harmful","late","4","2","0","0","0.5","0","0.5","-0.5"
"prm-f20b3a116ae0c86a","0","essential","late","2","2","0.5","0.5","1","0","0.5","-0.5"
"prm-f254e3a090dbe70a","1","essential","late","4","4","1","1","1","0","0","0"
"prm-f28e06b3ccb9dfd8","1","redundant","early","4","0","0","0","0","0","0","0"
"prm-f2aca719a99dc3e9","-1","harmful","late","2","2","0","0","1","0","1","-1"
"prm-f2ca2a7324883c6d","-1","essential","late","3","2","0","0","0.666666666666667","0","0.666666666666667","-0.666666666666667"
"prm-f3ade9b68838159b","1","harmful","early","4","2","1","1","0.5","0","-0.5","0.5"
"prm-f3b8d8282dd5fc21","0","redundant","early","1","0","0","0","0","0","0","0"
"prm-f418b9680e5a9dc1","-1","harmful","early","4","4","1","1","1","0","0","0"
"prm-f43ad1cb6c3aa6ba","0","essential","late","4","0","0","0","0","0","0","0"
"prm-f59567dc389816f6","-1","harmful","early","1","0","0","0","0","0","0","0"
"prm-f5ad90a250e816d4","0","redundant","late","4","3","0.5","0","0.75","-0.5","0.25","-0.75"
"prm-f6029ddde78e932f","1","harmful","late","1","1","1","0.25","1","-0.75","0","-0.75"
"prm-f65a99197bf57f66","-1","harmful","middle","4","0","0","0","0","0","0","0"
"prm-f66c436ea5314143","-1","redundant","late","4","2","0","1","0.5","1","0.5","0.5"
"prm-f77af5e177e450d9","0","essential","late","2","1","0.5","1","0.5","0.5","0","0.5"
"prm-f7aa110cdcd4de1b","-1","harmful","middle","2","2","1","0.75","1","-0.25","0","-0.25"
"prm-f80db588fbe79fa9","1","harmful","middle","4","3","1","1","0.75","0","-0.25","0.25"
"prm-f8d5e2b8c3ae4947","0","redundant","late","4","4","1","1","1","0","0","0"
"prm-f902409b4b69ac6a","1","essential","middle","4","0","0","0","0","0","0","0"
"prm-f928a55daeb136c0","1","harmful","early","3","0","0","0","0","0","0","0"
"prm-fa241fc7e4a6f419","1","redundant","late","1","1","1","0","1","-1","0","-1"
"prm-fa4778df65d9a289","-1","harmful","middle","2","1","0","0.5","0.5","0.5","0.5","0"
"prm-fa7b948140b07d8f","-1","harmful","early","4","0","0","0","0","0","0","0"
"prm-fa87724dc0063e72","-1","harmful","late","4","4","1","1","1","0","0","0"
"prm-fde519a4d71d112d","1","essential","late","4","0","0","0","0","0","0","0"
"prm-fe7cc1b1ef70d69f","0","redundant","early","4","0","1","0.5","0","-0.5","-1","0.5"
"prm-fea1ec494dc61cd4","1","harmful","early","4","1","0.75","0.5","0.25","-0.25","-0.5","0.25"
"prm-feab03f43e4af912","0","redundant","late","4","1","0.75","0","0.25","-0.75","-0.5","-0.25"
"prm-ff4d90cf78aa30d8","1","redundant","middle","4","4","1","1","1","0","0","0"
