step_id,problem_id,strong_control_group,prm_rating,step_type_human_calibrated,position_bin,position_ratio,target_tokens,prefix_tokens,control_correct_count,placebo_eligible,reuse_c0_c1_runs,new_c2_placebo_runs,new_c3_paraphrase_runs
prm-a8a8bda6701d4be2,problem-a66962fe3ac65ca5,stable_correct,0,harmful,middle,0.5000,54,545,4,1,4,4,4
prm-ac1c971aefdf8aad,problem-543fa2b4f0fe3ef6,stable_correct,0,redundant,early,0.2000,52,341,4,1,4,4,4
prm-afb60f3ac0dd9a0b,problem-c09864a50ddd773b,stable_correct,0,harmful,middle,0.3750,41,592,4,1,4,4,4
prm-b141684d5ef466c9,problem-18a164d5c1185eef,stable_correct,0,redundant,middle,0.5455,41,561,4,1,4,4,4
prm-b2a4ce5f01127d75,problem-25b30ae82b7937f0,stable_correct,1,essential,late,0.7143,23,418,4,1,4,4,4
prm-b4b221e907450223,problem-9762de06228ca9c9,stable_correct,0,redundant,late,0.9000,24,678,4,1,4,4,4
prm-b5f8d24593f1e708,problem-ca9cbef015dfaab2,stable_correct,0,redundant,late,0.9167,29,666,4,1,4,4,4
prm-bbc52970464fbf13,problem-a03b6b4ae366f630,stable_correct,0,essential,middle,0.5000,95,504,4,1,4,4,4
prm-bda20d3dc84e4528,problem-2ca7e059eeb0b7dd,stable_correct,0,redundant,early,0.0000,14,276,4,1,4,4,4
prm-bfc1c5c3c815660c,problem-f604ddc238c9c584,stable_correct,-1,essential,early,0.3200,26,658,4,1,4,4,4
prm-c95bf35f36e49166,problem-b4bdce0b7c998bd0,stable_correct,0,redundant,late,0.9600,25,923,4,1,4,4,4
prm-c9fe17645948c6da,problem-a153bf646bb8dfb0,stable_correct,0,redundant,middle,0.6429,37,631,4,1,4,4,4
prm-d3fcbd13ec57a842,problem-7f472ed5afd0fbc0,stable_correct,1,redundant,middle,0.4286,20,403,4,1,4,4,4
prm-d4926e70a53c8c17,problem-d7d47865fbb51ce6,stable_correct,1,redundant,early,0.0000,21,338,4,1,4,4,4
prm-db5fb9c45b89211e,problem-e86aeb48607d14cf,stable_correct,1,essential,middle,0.5000,24,580,4,1,4,4,4
prm-dbc12362d53ec14f,problem-7402b093e77ab835,stable_correct,1,redundant,early,0.0000,17,307,4,1,4,4,4
prm-dbc1373a79928aa0,problem-c0364fc64487e4ec,stable_correct,1,essential,late,0.8000,52,516,4,1,4,4,4
prm-ddb44dca9b82bb3d,problem-70cf8bf9114223fc,stable_correct,1,redundant,early,0.1053,21,371,4,1,4,4,4
prm-dfc9bfdaf9a344b2,problem-a3f40663ba19390b,stable_correct,1,essential,middle,0.5000,22,662,4,1,4,4,4
prm-e340bad68ddf9e2d,problem-d1c9cde932510127,stable_correct,0,redundant,late,0.8000,24,449,4,1,4,4,4
prm-eb13f69f057980c9,problem-ad5b14b23ed9a9ea,stable_correct,0,redundant,late,0.7273,19,532,4,1,4,4,4
prm-ebe33b841de11dec,problem-6f0e66a3f1cbf245,stable_correct,1,essential,late,1.0000,29,655,4,1,4,4,4
prm-f3ade9b68838159b,problem-cb95bc64c75cf167,stable_correct,1,harmful,early,0.1923,44,460,4,1,4,4,4
prm-f418b9680e5a9dc1,problem-80883c8d718e7942,stable_correct,-1,redundant,early,0.1818,36,324,4,1,4,4,4
prm-ff4d90cf78aa30d8,problem-93d733b48692eae6,stable_correct,1,essential,middle,0.4545,21,409,4,1,4,4,4
